scientificName,x,y
Pterois volitans,-67.484,18.37747
Pterois volitans,-67.23879039,10.55236339
Pterois volitans,-81.94131,24.5141
Pterois volitans,-67.67080307,12.03243716
Pterois volitans,-80.15751,25.47661
Pterois volitans,116.691665,-20.008335
Pterois volitans,-82.94541,24.63121
Pterois volitans,55.416667,-4.616667
Pterois volitans,121.6900024,25.20999908
Pterois volitans,117.8,-19.33
Pterois volitans,-80.43921,24.96705
Pterois volitans,34.95000076,29.5
Pterois volitans,-74.1286111,11.3298611
Pterois volitans,-81.75273,24.47229
Pterois volitans,141.27625,-11.725135
Pterois volitans,-177.895722,-29.309028
Pterois volitans,-64.8938,17.7473
Pterois volitans,43.5,-23.33333397
Pterois volitans,130.202,31.336
Pterois volitans,-82.8532,24.72291
Pterois volitans,131.1319,3.0117
Pterois volitans,-67.23903179,10.5528433
Pterois volitans,-82.8335667,24.72285
Pterois volitans,33.9079,27.3099
Pterois volitans,120.80362,14.725738
Pterois volitans,33.8482,27.2107
Pterois volitans,152.916,-31.45
Pterois volitans,-69.6029,18.4421
Pterois volitans,-80.71569,24.77599
Pterois volitans,-82.9994333,24.69975
Pterois volitans,87.6333313,21.64722252
Pterois volitans,-67.94727445,10.48845541
Pterois volitans,95.2828,5.86016
Pterois volitans,123.401,9.95566
Pterois volitans,-77.33625,8.6420555
Pterois volitans,-67.47073174,10.53760197
Pterois volitans,134.493611,7.32
Pterois volitans,-80.68855,24.796383
Pterois volitans,-69.1528,12.3411
Pterois volitans,-81.235,24.4958333
Pterois volitans,-81.0991,24.6633
Pterois volitans,122.228201,-8.610203
Pterois volitans,-86.6087,16.3095
Pterois volitans,-66.03057861,10.80093264
Pterois volitans,-80.80352,24.73751
Pterois volitans,-83.03263,24.68483
Pterois volitans,-80.3746,25.005967
Pterois volitans,34.9688,29.5447
Pterois volitans,33.9749,27.134
Pterois volitans,121.56764,-18.341665
Pterois volitans,117.492,-8.26578
Pterois volitans,-67.549892,10.521515
Pterois volitans,-157.338197,1.861438
Pterois volitans,-82.9639,24.5733833
Pterois volitans,115.589,-8.29321
Pterois volitans,-87.2344,20.484
Pterois volitans,151.266,-33.85
Pterois volitans,-80.1524333,25.3120333
Pterois volitans,116.925275,-19.96778
Pterois volitans,-67.2406733,10.55466799
Pterois volitans,127.706667,26.087778
Pterois volitans,134.50139,-9.659585
Pterois volitans,-68.2853,12.0995
Pterois volitans,115.868335,-20.664165
Pterois volitans,-81.98934,24.43205
Pterois volitans,122.233,-17.966
Pterois volitans,140,-11.0175
Pterois volitans,72.811,4.20113
Pterois volitans,-67.47161686,10.53470655
Pterois volitans,140.166,-17.416
Pterois volitans,153.15,-26.8
Pterois volitans,-68.24597597,10.8185424
Pterois volitans,-67.25503922,10.54807585
Pterois volitans,120.7099991,21.97999954
Pterois volitans,-80.2069,25.33355
Pterois volitans,145.744785,18.093946
Pterois volitans,-81.091,19.293
Pterois volitans,134.5398407,7.266944408
Pterois volitans,-140.05,-8.8
Pterois volitans,113.68333,-28.48333
Pterois volitans,114.96667,-29.95
Pterois volitans,-67.99562931,10.49137763
Pterois volitans,-67.26997,18.34732
Pterois volitans,34.9717,29.4551
Pterois volitans,166.4,-72.435
Pterois volitans,-67.51321793,10.52545055
Pterois volitans,-82.81835,24.6242167
Pterois volitans,148.25,-20.05
Pterois volitans,-81.883433,24.44825
Pterois volitans,121,14.5
Pterois volitans,-84.27177,28.45916
Pterois volitans,178.400333,-18.163933
Pterois volitans,116.25,-8.717
Pterois volitans,-63.36914063,15.39013572
Pterois volitans,-64.75064993,10.26770654
Pterois volitans,115.396665,-20.1425
Pterois volitans,-82.92716,24.58221
Pterois volitans,-81.334767,24.558217
Pterois volitans,138.072222,9.523611
Pterois volitans,-82.96538,24.62957
Pterois volitans,-81.90215,24.47432
Pterois volitans,-80.14216,25.34964
Pterois volitans,-67.23846316,10.55181493
Pterois volitans,178.3891667,-18.14416667
